NVC2.1_camp_name,year,loc_cow,targ_cow,NVC2.1_prim_meth,NVC2.1_total_part,NVC2.1_camp_structure,NVC2.1_sec_defect,NVC2.1_state_defect,NVC2.1_success,NVC2.1_camp_duration,NVC2.1_camp_goals,NVC2.1_progress
Frolinat,1980,483,483,0,5000,1,1,1,0,25,2,0
Frolinat,1981,483,483,0,-99,1,0,0,0,25,2,0
Frolinat,1982,483,483,0,5000,1,0,0,0,25,0,3
Frolinat,1983,483,483,0,-99,1,0,0,0,25,0,0
Frolinat,1984,483,483,0,-99,1,0,0,0,25,0,0
Frolinat,1985,483,483,0,16000,1,0,0,0,25,0,0
Frolinat,1986,483,483,0,-99,1,0,1,0,25,0,0
Frolinat,1987,483,483,0,-99,1,0,0,0,25,0,0
Frolinat,1988,483,483,0,-99,1,1,1,0,25,0,0
Frolinat,1989,483,483,0,7001,1,1,1,0,25,0,0
Frolinat,1990,483,483,0,2000,1,1,0,1,25,0,4
Front for the Liberation of Mozambique,1963,541,235,1,15000,1,0,1,0,12,5,1
Front for the Liberation of Mozambique,1964,541,235,0,15000,1,0,0,0,12,5,1
Front for the Liberation of Mozambique,1965,541,235,0,15000,1,0,0,0,12,5,1
Front for the Liberation of Mozambique,1966,541,235,0,15000,1,0,0,0,12,5,1
Front for the Liberation of Mozambique,1967,541,235,0,15000,1,0,0,0,12,5,1
Front for the Liberation of Mozambique,1968,541,235,0,15000,1,0,0,0,12,5,1
Front for the Liberation of Mozambique,1969,541,235,0,15000,1,0,0,0,12,5,1
Front for the Liberation of Mozambique,1970,541,235,0,15000,1,0,0,0,12,5,1
Front for the Liberation of Mozambique,1971,541,235,0,15000,1,0,0,0,12,5,1
Front for the Liberation of Mozambique,1972,541,235,0,15000,1,0,0,0,12,5,1
Front for the Liberation of Mozambique,1973,541,235,0,15000,1,0,0,0,12,5,1
Front for the Liberation of Mozambique,1974,541,235,0,15000,1,0,0,1,12,5,4
GAM,1976,850,850,0,70,1,0,0,0,30,3,0
GAM,1977,850,850,0,200,1,0,0,0,30,3,0
GAM,1978,850,850,0,200,1,0,0,0,30,3,0
GAM,1979,850,850,0,200,1,0,0,0,30,3,0
GAM,1980,850,850,0,101,1,0,0,0,30,3,0
GAM,1981,850,850,0,101,1,0,0,0,30,3,0
GAM,1982,850,850,0,101,1,0,0,0,30,3,0
GAM,1983,850,850,0,101,1,0,0,0,30,3,0
GAM,1984,850,850,0,101,1,0,0,0,30,3,0
GAM,1985,850,850,0,101,1,0,0,0,30,3,0
GAM,1986,850,850,0,101,1,0,0,0,30,3,0
GAM,1987,850,850,0,101,1,0,0,0,30,3,0
GAM,1988,850,850,0,101,1,0,0,0,30,3,0
GAM,1989,850,850,0,750,1,1,0,0,30,3,0
GAM,1990,850,850,0,750,1,1,0,0,30,3,0
GAM,1991,850,850,0,750,1,0,0,0,30,3,0
GAM,1992,850,850,0,750,1,0,0,0,30,3,0
GAM,1993,850,850,0,750,1,0,0,0,30,3,0
GAM,1994,850,850,0,-99,1,0,0,0,30,3,0
GAM,1995,850,850,0,-99,1,0,0,0,30,3,0
GAM,1996,850,850,0,50,1,0,0,0,30,3,0
GAM,1997,850,850,0,50,1,0,0,0,30,3,0
GAM,1998,850,850,0,50,1,0,0,0,30,3,2
GAM,1999,850,850,0,800,1,0,0,0,30,3,2
GAM,2000,850,850,0,2000,1,0,0,0,30,3,2
GAM,2001,850,850,0,27000,1,0,0,0,30,3,3
GAM,2002,850,850,0,15000,1,0,0,0,30,3,2
GAM,2003,850,850,0,5000,1,0,0,0,30,3,0
GAM,2004,850,850,0,5200,1,0,0,0,30,3,3
GAM,2005,850,850,0,3000,1,0,0,0,30,3,5
Greece Anti-Military,1973,350,350,1,15000,0,1,0,0,2,0,2
Greece Anti-Military,1974,350,350,1,200001,0,1,0,1,2,0,4
Hizballah,1982,660,666,0,100000,0,-99,-99,0,19,5,0
Hizballah,1983,660,666,0,-99,0,-99,-99,0,19,5,0
Hizballah,1984,660,666,0,-99,0,-99,-99,0,19,5,1
Hizballah,1985,660,666,0,-99,0,-99,-99,0,19,5,3
Hizballah,1986,660,666,0,-99,0,-99,-99,0,19,5,0
Hizballah,1987,660,666,0,-99,0,-99,-99,0,19,5,0
Hizballah,1988,660,666,0,-99,0,-99,-99,0,19,5,0
Hizballah,1989,660,666,0,-99,0,-99,-99,0,19,5,0
Hizballah,1990,660,666,0,3500,0,-99,-99,0,19,5,0
Hizballah,1991,660,666,0,3500,0,-99,-99,0,19,5,0
Hizballah,1992,660,666,0,3000,0,-99,-99,0,19,5,1
Hizballah,1993,660,666,0,3000,0,-99,-99,0,19,5,0
Hizballah,1994,660,666,0,3000,0,-99,-99,0,19,5,0
Hizballah,1995,660,666,0,3000,0,-99,-99,0,19,5,0
Hizballah,1996,660,666,0,3000,0,-99,-99,0,19,5,0
Hizballah,1997,660,666,0,3300,0,-99,-99,0,19,5,0
Hizballah,1998,660,666,0,3300,0,-99,-99,0,19,5,0
Hizballah,1999,660,666,0,3300,0,-99,-99,0,19,5,0
Hizballah,2000,660,666,0,3300,0,-99,-99,0,19,5,5
Hukbalahap Rebellion,1946,840,840,0,15000,1,-99,-99,0,9,0,0
Hukbalahap Rebellion,1947,840,840,0,15000,1,-99,-99,0,9,0,0
Hukbalahap Rebellion,1948,840,840,0,20000,1,-99,-99,0,9,0,0
Hukbalahap Rebellion,1949,840,840,0,25000,1,-99,-99,0,9,0,0
Hukbalahap Rebellion,1950,840,840,0,20000,1,-99,-99,0,9,0,0
Hukbalahap Rebellion,1951,840,840,0,15000,1,-99,-99,0,9,0,0
Hukbalahap Rebellion,1952,840,840,0,8000,1,-99,-99,0,9,0,0
Hukbalahap Rebellion,1953,840,840,0,2000,1,0,0,0,9,0,0
Hukbalahap Rebellion,1954,840,840,0,3000,1,-99,-99,0,9,0,5
Hundred Flowers Movement,1956,710,710,1,500000,0,0,1,0,2,2,0
Hundred Flowers Movement,1957,710,710,1,500000,0,0,1,0,2,2,5
Hungary Anti-Communist,1956,310,310,1,300000,0,1,1,0,1,0,5
Hungary Anti-Soviet Occupation,1956,310,365,1,1001,0,1,0,0,1,5,5
Hungary pro-dem movement,1989,310,310,1,100000,0,-99,0,1,1,0,4
IRA,1968,200,200,1,300,0,-99,-99,0,31,3,0
IRA,1969,200,200,0,300,0,-99,-99,0,31,3,0
IRA,1970,200,200,0,300,0,-99,-99,0,31,3,0
IRA,1971,200,200,0,300,0,-99,-99,0,31,3,0
IRA,1972,200,200,0,300,0,-99,-99,0,31,3,0
IRA,1973,200,200,0,300,0,-99,-99,0,31,3,0
IRA,1974,200,200,0,300,0,-99,-99,0,31,3,0
IRA,1975,200,200,0,300,0,-99,-99,0,31,3,0
IRA,1976,200,200,0,500,0,-99,-99,0,31,3,0
IRA,1977,200,200,0,500,0,-99,-99,0,31,3,0
IRA,1978,200,200,0,500,0,-99,-99,0,31,3,0
IRA,1979,200,200,0,500,0,-99,-99,0,31,3,0
IRA,1980,200,200,0,400,0,-99,-99,0,31,3,0
IRA,1981,200,200,0,200,0,-99,-99,0,31,3,0
IRA,1982,200,200,0,300,0,-99,-99,0,31,3,0
IRA,1983,200,200,0,300,0,-99,-99,0,31,3,0
IRA,1984,200,200,0,300,0,-99,-99,0,31,3,0
IRA,1985,200,200,0,300,0,-99,-99,0,31,3,2
IRA,1986,200,200,0,350,0,-99,-99,0,31,3,0
IRA,1987,200,200,0,350,0,-99,-99,0,31,3,0
IRA,1988,200,200,0,350,0,-99,-99,0,31,3,0
IRA,1989,200,200,0,300,0,-99,-99,0,31,3,0
IRA,1990,200,200,0,500,0,-99,-99,0,31,3,0
IRA,1991,200,200,0,250,0,-99,-99,0,31,3,0
IRA,1992,200,200,0,300,0,-99,-99,0,31,3,0
IRA,1993,200,200,0,300,0,-99,-99,0,31,3,0
IRA,1994,200,200,0,300,0,-99,-99,0,31,3,2
IRA,1995,200,200,0,300,0,-99,-99,0,31,3,2
IRA,1996,200,200,0,300,0,-99,-99,0,31,3,0
IRA,1997,200,200,0,300,0,-99,-99,0,31,3,0
IRA,1998,200,200,0,200,0,-99,-99,0,31,3,5
Ifni war,1957,600,230,0,6000,1,-99,-99,0,2,5,1
Ifni war,1958,600,230,0,1200,1,-99,-99,0,2,5,5
Indochina revolt,1945,816,220,0,-99,1,0,0,0,10,5,0
Indochina revolt,1946,816,220,0,60000,1,0,0,0,10,5,2
Indochina revolt,1947,816,220,0,40000,1,0,0,0,10,5,0
Indochina revolt,1948,816,220,0,250000,1,0,0,0,10,5,2
Indochina revolt,1949,816,220,0,250000,1,0,0,0,10,5,0
Indochina revolt,1950,816,220,0,150000,1,0,0,0,10,5,0
Indochina revolt,1951,816,220,0,250000,1,0,0,0,10,5,0
Indochina revolt,1952,816,220,0,500000,1,0,0,0,10,5,0
Indochina revolt,1953,816,220,0,280000,1,0,0,0,10,5,0
Indochina revolt,1954,816,220,0,200000,1,0,0,1,10,5,4
Indonesian Revolt,1945,850,210,0,100000,1,0,1,0,5,5,1
Indonesian Revolt,1946,850,210,0,200000,1,0,1,0,5,5,2
Indonesian Revolt,1947,850,210,0,200000,1,0,1,0,5,5,0
Indonesian Revolt,1948,850,210,0,250000,1,0,0,0,5,5,0
Indonesian Revolt,1949,850,210,0,200000,1,0,0,1,5,5,4
Indonesian leftists / Anti Sukarno,1956,850,850,0,6000,1,0,0,0,5,0,0
Indonesian leftists / Anti Sukarno,1957,850,850,0,6000,1,0,1,0,5,0,0
Indonesian leftists / Anti Sukarno,1958,850,850,0,6000,1,0,0,0,5,0,0
Indonesian leftists / Anti Sukarno,1959,850,850,0,10000,1,0,0,0,5,0,0
Indonesian leftists / Anti Sukarno,1960,850,850,0,10000,1,0,0,0,5,0,5
Iranian Mujahideen,1981,630,630,0,20000,0,-99,1,0,2,0,0
Iranian Mujahideen,1982,630,630,0,20000,0,-99,1,0,2,0,5
Iranian Revolution,1971,630,630,0,140,1,0,0,0,9,0,0
Iranian Revolution,1972,630,630,0,-99,1,0,0,0,9,0,0
Iranian Revolution,1973,630,630,0,-99,1,0,0,0,9,0,0
Iranian Revolution,1974,630,630,0,-99,1,0,0,0,9,0,0
Iranian Revolution,1975,630,630,0,-99,1,0,0,0,9,0,0
Iranian Revolution,1976,630,630,0,-99,1,0,0,0,9,0,0
Iranian Revolution,1977,630,630,1,15000,0,0,0,0,9,0,0
Iranian Revolution,1978,630,630,1,2000000,0,1,1,0,9,0,3
Iranian Revolution,1979,630,630,1,500000,0,1,1,1,9,0,4
Iraqi insurgency,2003,645,645,0,5000,1,1,0,0,11,0,0
Iraqi insurgency,2004,645,645,0,20000,1,1,1,0,11,0,0
Iraqi insurgency,2005,645,645,0,240000,1,1,1,0,11,0,1
Iraqi insurgency,2006,645,645,0,240000,1,1,1,0,11,0,2
Iraqi insurgency,2007,645,645,0,245000,1,0,0,0,11,0,0
Iraqi insurgency,2008,645,645,0,100000,1,0,0,0,11,0,0
Iraqi insurgency,2009,645,645,0,7001,1,0,0,0,11,0,0
Iraqi insurgency,2010,645,645,0,7001,1,0,0,0,11,0,0
Iraqi insurgency,2011,645,645,0,2000,1,0,0,0,11,0,0
Iraqi insurgency,2012,645,645,0,3500,1,0,0,0,11,3,0
Iraqi insurgency,2013,645,645,0,10000,1,0,0,0,11,0,0
Islamic Salvation Front,1989,615,615,1,-99,1,0,0,0,25,0,0
Islamic Salvation Front,1990,615,615,1,600000,1,0,0,0,25,0,0
Islamic Salvation Front,1991,615,615,1,100001,1,0,0,0,25,0,0
Islamic Salvation Front,1992,615,615,0,2000,1,0,0,0,25,0,0
Islamic Salvation Front,1993,615,615,0,10001,1,1,0,0,25,0,3
Islamic Salvation Front,1994,615,615,0,10001,1,1,0,0,25,0,3
Islamic Salvation Front,1995,615,615,0,10000,1,0,0,0,25,0,3
Islamic Salvation Front,1996,615,615,0,6000,1,0,0,0,25,0,3
Islamic Salvation Front,1997,615,615,0,4000,1,0,0,0,25,0,3
Islamic Salvation Front,1998,615,615,0,3000,1,0,0,0,25,0,3
Islamic Salvation Front,1999,615,615,0,4500,1,0,0,0,25,0,3
Islamic Salvation Front,2000,615,615,0,2000,1,0,0,0,25,0,3
Islamic Salvation Front,2001,615,615,0,2000,1,0,0,0,25,0,3
Islamic Salvation Front,2002,615,615,0,2000,1,0,0,0,25,0,0
Islamic Salvation Front,2003,615,615,0,999,1,0,0,0,25,0,0
Islamic Salvation Front,2004,615,615,0,999,1,0,0,0,25,0,3
Islamic Salvation Front,2005,615,615,0,500,1,0,0,0,25,0,0
Islamic Salvation Front,2006,615,615,0,500,1,0,0,0,25,0,0
Islamic Salvation Front,2007,615,615,0,500,1,0,0,0,25,0,0
Islamic Salvation Front,2008,615,615,0,500,1,0,0,0,25,0,0
Islamic Salvation Front,2009,615,615,0,500,1,0,0,0,25,0,0
Islamic Salvation Front,2010,615,615,0,300,1,0,0,0,25,0,0
Islamic Salvation Front,2011,615,615,0,300,1,0,0,0,25,0,0
Islamic Salvation Front,2012,615,615,0,500,1,0,0,0,25,0,0
Islamic Salvation Front,2013,615,615,0,999,1,0,0,0,25,0,0
JEM/SLA,2003,625,625,0,4001,1,0,0,0,10,2,0
JEM/SLA,2004,625,625,0,14501,1,-99,-99,0,10,0,0
JEM/SLA,2005,625,625,0,13001,1,0,0,0,10,0,0
JEM/SLA,2006,625,625,0,13001,1,0,0,0,10,0,0
JEM/SLA,2007,625,625,0,18000,0,0,0,0,10,0,0
JEM/SLA,2008,625,625,0,11000,0,0,0,0,10,0,0
JEM/SLA,2009,625,625,0,7500,0,0,0,0,10,0,0
JEM/SLA,2010,625,625,0,5000,0,0,1,0,10,0,0
JEM/SLA,2011,625,625,0,5950,0,0,0,0,10,0,2
JEM/SLA,2012,625,625,0,2900,0,0,0,0,10,0,5
JVP,1971,780,780,0,20000,1,0,0,0,1,0,5
Jewish resistance,1945,,200,0,-99,1,0,0,0,4,3,0
Jewish resistance,1946,,200,0,-99,1,0,0,0,4,3,0
Jewish resistance,1947,,200,0,35000,1,0,0,0,4,5,0
Jewish resistance,1948,,200,0,63000,1,0,0,1,4,5,4
Kurdish civil conflict,1996,645,645,0,55000,0,0,0,0,1,4,5
KDPI,1979,630,630,0,10000,0,0,0,0,18,4,2
KDPI,1980,630,630,0,10000,0,0,0,0,18,4,0
KDPI,1981,630,630,0,10000,0,0,0,0,18,4,0
KDPI,1982,630,630,0,10000,0,0,0,0,18,0,0
KDPI,1983,630,630,0,10000,0,0,0,0,18,0,0
KDPI,1984,630,630,0,10000,0,0,0,0,18,4,0
KDPI,1985,630,630,0,10000,0,0,0,0,18,4,0
KDPI,1986,630,630,0,10000,0,1,0,0,18,4,0
KDPI,1987,630,630,0,10000,0,0,0,0,18,4,0
KDPI,1988,630,630,0,10000,0,0,0,0,18,4,0
KDPI,1989,630,630,0,10000,0,0,0,0,18,4,0
KDPI,1990,630,630,0,10000,0,0,0,0,18,4,0
KDPI,1991,630,630,0,10000,0,0,0,0,18,4,0
KDPI,1992,630,630,0,10000,0,0,0,0,18,4,0
KDPI,1993,630,630,0,10000,0,0,0,0,18,4,0
KDPI,1994,630,630,0,10000,0,0,0,0,18,4,0
KDPI,1995,630,630,0,10000,0,0,0,0,18,4,0
KDPI,1996,630,630,0,10000,0,0,0,0,18,4,5
Kabila-ADFL,1996,490,490,0,20000,1,1,0,0,2,0,1
Kabila-ADFL,1997,490,490,0,20000,1,1,0,1,2,0,4
Kashmiri Muslim separatists,1990,750,750,0,3000,0,0,0,0,24,3,0
Kashmiri Muslim separatists,1991,750,750,0,4000,0,0,0,0,24,3,0
Kashmiri Muslim separatists,1992,750,750,0,5000,0,0,0,0,24,3,0
Kashmiri Muslim separatists,1993,750,750,0,10000,0,0,0,0,24,3,0
Kashmiri Muslim separatists,1994,750,750,0,7500,0,0,0,0,24,3,1
Kashmiri Muslim separatists,1995,750,750,0,7500,0,0,0,0,24,3,2
Kashmiri Muslim separatists,1996,750,750,0,7500,0,0,0,0,24,3,2
Kashmiri Muslim separatists,1997,750,750,0,3501,0,0,0,0,24,3,2
Kashmiri Muslim separatists,1998,750,750,0,3500,0,0,0,0,24,3,0
Kashmiri Muslim separatists,1999,750,750,0,3500,0,0,0,0,24,3,0
Kashmiri Muslim separatists,2000,750,750,0,4250,0,0,0,0,24,3,3
Kashmiri Muslim separatists,2001,750,750,0,4250,0,0,0,0,24,3,0
Kashmiri Muslim separatists,2002,750,750,0,4250,0,0,0,0,24,3,0
Kashmiri Muslim separatists,2003,750,750,0,2750,0,0,0,0,24,3,3
Kashmiri Muslim separatists,2004,750,750,0,2320,0,0,0,0,24,3,3
Kashmiri Muslim separatists,2005,750,750,0,3301,0,0,0,0,24,3,3
Kashmiri Muslim separatists,2006,750,750,0,2925,0,1,1,0,24,3,3
Kashmiri Muslim separatists,2007,750,750,0,1140,1,0,0,0,24,3,0
Kashmiri Muslim separatists,2008,750,750,0,4075,1,0,0,0,24,3,0
Kashmiri Muslim separatists,2009,750,750,0,2650,1,0,0,0,24,3,0
Kashmiri Muslim separatists,2010,750,750,0,800,1,0,0,0,24,3,0
Kashmiri Muslim separatists,2011,750,750,0,400,1,0,0,0,24,3,0
Kashmiri Muslim separatists,2012,750,750,0,250,1,0,0,0,24,3,0
Kashmiri Muslim separatists,2013,750,750,0,300,1,0,0,0,24,3,0
Katanga-led leftists,1960,490,490,0,13500,1,0,0,0,6,3,0
Katanga-led leftists,1961,490,490,0,13500,1,0,0,0,6,3,2
Katanga-led leftists,1962,490,490,0,13500,1,0,0,0,6,3,2
Katanga-led leftists,1963,490,490,0,13500,1,0,0,0,6,3,0
Katanga-led leftists,1964,490,490,0,4000,-99,0,0,0,6,-99,0
Katanga-led leftists,1965,490,490,0,4000,-99,0,0,0,6,-99,5
Khmer Rouge,1960,811,811,0,101,1,0,0,0,16,0,0
Khmer Rouge,1961,811,811,0,101,1,0,0,0,16,0,0
Khmer Rouge,1962,811,811,0,101,1,0,0,0,16,0,0
Khmer Rouge,1963,811,811,0,201,1,0,0,0,16,0,0
Khmer Rouge,1964,811,811,0,201,1,0,0,0,16,0,0
Khmer Rouge,1965,811,811,0,201,1,0,0,0,16,0,0
Khmer Rouge,1966,811,811,0,201,1,0,0,0,16,0,0
Khmer Rouge,1967,811,811,0,15000,0,0,0,0,16,0,0
Khmer Rouge,1968,811,811,0,25000,1,0,0,0,16,0,0
Khmer Rouge,1969,811,811,0,28400,1,0,0,0,16,0,0
Khmer Rouge,1970,811,811,0,75000,0,0,0,0,16,0,0
Khmer Rouge,1971,811,811,0,125000,0,0,0,0,16,0,0
Khmer Rouge,1972,811,811,0,200000,0,0,0,0,16,0,0
Khmer Rouge,1973,811,811,0,205001,0,0,0,0,16,0,0
Khmer Rouge,1974,811,811,0,180000,1,0,0,0,16,0,0
Khmer Rouge,1975,811,811,0,180000,1,0,0,1,16,0,4
Kifaya,2003,651,651,1,10000,0,0,0,0,3,1,1
Kifaya,2004,651,651,1,300,0,0,1,0,3,0,1
Kifaya,2005,651,651,1,7000,0,0,1,0,3,0,5
Kosovo Albanian,1989,345,345,1,12000,0,0,0,0,11,4,0
Kosovo Albanian,1990,345,345,1,5000,0,0,0,0,11,3,0
Kosovo Albanian,1991,345,345,1,2001,0,0,0,0,11,3,0
Kosovo Albanian,1992,345,345,1,2001,0,0,0,0,11,3,1
Kosovo Albanian,1993,345,345,1,-99,0,0,0,0,11,3,0
Kosovo Albanian,1994,345,345,1,-99,0,0,0,0,11,3,0
Kosovo Albanian,1995,345,345,1,-99,0,0,0,0,11,3,0
Kosovo Albanian,1996,345,345,1,-99,0,0,0,0,11,3,0
Kosovo Albanian,1997,345,345,0,20000,0,0,0,0,11,3,0
Kosovo Albanian,1998,345,345,0,20000,0,0,0,0,11,3,0
Kosovo Albanian,1999,345,345,0,10000,0,0,0,0,11,3,5
Kosovo Albanian nationalist movement,1981,345,345,1,20000,0,1,0,0,1,4,5
Kurdish Secession against Saddam,1985,645,645,0,22000,0,0,0,0,9,4,0
Kurdish Secession against Saddam,1986,645,645,0,22000,0,0,0,0,9,4,0
Kurdish Secession against Saddam,1987,645,645,0,22000,0,1,0,0,9,4,0
Kurdish Secession against Saddam,1988,645,645,0,60000,0,0,0,0,9,4,0
Kurdish Secession against Saddam,1989,645,645,0,49000,0,0,0,0,9,4,0
Kurdish Secession against Saddam,1990,645,645,0,49000,0,1,0,0,9,4,0
Kurdish Secession against Saddam,1991,645,645,0,49000,0,1,0,0,9,4,0
Kurdish Secession against Saddam,1992,645,645,0,57000,0,0,0,0,9,4,2
Kurdish Secession against Saddam,1993,645,645,0,57000,0,-99,-99,0,9,4,5
Kurdish rebellion,1961,645,645,0,15000,1,0,0,0,15,4,0
Kurdish rebellion,1962,645,645,0,15000,1,1,0,0,15,4,0
Kurdish rebellion,1963,645,645,0,15000,0,1,0,0,15,4,1
Kurdish rebellion,1964,645,645,0,15000,0,1,0,0,15,4,2
Kurdish rebellion,1965,645,645,0,15000,0,1,0,0,15,4,0
Kurdish rebellion,1966,645,645,0,15000,0,1,0,0,15,4,0
Kurdish rebellion,1967,645,645,0,45000,0,1,0,0,15,4,0
Kurdish rebellion,1968,645,645,0,45000,0,1,0,0,15,4,0
Kurdish rebellion,1969,645,645,0,45000,0,1,0,0,15,4,0
Kurdish rebellion,1970,645,645,0,45000,0,1,0,0,15,4,3
Kurdish rebellion,1971,645,645,0,45000,0,0,0,0,15,4,0
Kurdish rebellion,1972,645,645,0,45000,0,0,0,0,15,4,0
Kurdish rebellion,1973,645,645,0,45000,0,0,0,0,15,4,0
Kurdish rebellion,1974,645,645,0,75000,0,0,0,0,15,4,0
Kurdish rebellion,1975,645,645,0,75000,0,0,1,0,15,4,5
Kyrgyzstan Democratic Movement,1990,703,703,1,10000,0,0,1,0,2,0,3
Kyrgyzstan Democratic Movement,1991,703,703,1,-99,0,0,0,1,2,0,4
LRA,1986,500,500,0,10000,1,0,0,0,28,0,0
LRA,1987,500,500,0,10000,1,0,0,0,28,0,0
LRA,1988,500,500,0,5000,1,0,0,0,28,0,0
LRA,1989,500,500,0,500,1,0,0,0,28,0,0
LRA,1990,500,500,0,500,1,0,0,0,28,0,0
LRA,1991,500,500,0,500,1,0,0,0,28,0,0
LRA,1992,500,500,0,500,1,0,0,0,28,0,0
LRA,1993,500,500,0,500,1,0,0,0,28,0,0
LRA,1994,500,500,0,200,1,0,0,0,28,0,0
LRA,1995,500,500,0,1000,1,0,0,0,28,0,0
LRA,1996,500,500,0,2000,1,0,0,0,28,0,0
LRA,1997,500,500,0,3000,1,0,0,0,28,0,0
LRA,1998,500,500,0,4500,1,0,0,0,28,0,0
LRA,1999,500,500,0,3000,1,0,0,0,28,0,0
LRA,2000,500,500,0,1500,1,0,0,0,28,0,0
LRA,2001,500,500,0,950,1,0,0,0,28,0,0
LRA,2002,500,500,0,1500,1,0,0,0,28,0,0
LRA,2003,500,500,0,1500,1,0,0,0,28,0,0
LRA,2004,500,500,0,2250,1,0,0,0,28,0,0
LRA,2005,500,500,0,3000,1,0,0,0,28,0,0
LRA,2006,500,500,0,2250,1,0,0,0,28,0,0
LRA,2007,500,500,0,1000,1,0,0,0,28,0,1
LRA,2008,500,500,0,801,1,0,0,0,28,0,0
LRA,2009,500,500,0,400,0,0,0,0,28,0,0
LRA,2010,500,500,0,470,0,0,0,0,28,0,0
LRA,2011,500,500,0,400,0,0,0,0,28,0,0
LRA,2012,500,500,0,250,0,0,0,0,28,0,0
LRA,2013,500,500,0,250,0,0,0,0,28,0,0
LTTE,1972,780,780,1,100001,1,0,1,0,38,2,0
LTTE,1973,780,780,1,50001,1,0,0,0,38,4,0
LTTE,1974,780,780,1,50001,1,0,0,0,38,4,0
LTTE,1975,780,780,1,50001,1,0,0,0,38,4,0
LTTE,1976,780,780,0,99,1,0,0,0,38,3,0
LTTE,1977,780,780,0,50,1,0,0,0,38,3,0
LTTE,1978,780,780,0,101,1,0,0,0,38,3,0
LTTE,1979,780,780,0,-99,1,0,0,0,38,3,0
LTTE,1980,780,780,0,-99,1,0,0,0,38,3,0
LTTE,1981,780,780,0,1000,1,0,0,0,38,3,0
LTTE,1982,780,780,0,400,1,0,0,0,38,3,0
LTTE,1983,780,780,0,500,1,0,0,0,38,3,1
LTTE,1984,780,780,0,2000,1,0,0,0,38,3,1
LTTE,1985,780,780,0,5000,1,0,0,0,38,3,0
LTTE,1986,780,780,0,5000,1,0,0,0,38,3,0
LTTE,1987,780,780,0,2000,1,0,0,0,38,3,0
LTTE,1988,780,780,0,3800,1,0,0,0,38,3,0
LTTE,1989,780,780,0,2000,1,0,0,0,38,3,0
LTTE,1990,780,780,0,3000,1,0,0,0,38,3,0
LTTE,1991,780,780,0,5000,1,0,0,0,38,3,0
LTTE,1992,780,780,0,7000,1,0,0,0,38,3,0
LTTE,1993,780,780,0,7000,1,0,0,0,38,3,0
LTTE,1994,780,780,0,10000,1,0,0,0,38,3,0
LTTE,1995,780,780,0,10000,1,0,0,0,38,3,0
LTTE,1996,780,780,0,8000,1,0,0,0,38,3,0
LTTE,1997,780,780,0,8000,1,0,0,0,38,3,0
LTTE,1998,780,780,0,8000,1,0,0,0,38,3,0
LTTE,1999,780,780,0,7000,1,0,0,0,38,3,0
LTTE,2000,780,780,0,7000,1,0,0,0,38,3,0
LTTE,2001,780,780,0,7000,1,0,0,0,38,3,0
LTTE,2002,780,780,0,6000,1,0,0,0,38,3,0
LTTE,2003,780,780,0,7000,1,0,0,0,38,3,0
LTTE,2004,780,780,0,10000,1,0,0,0,38,3,0
LTTE,2005,780,780,0,11000,1,0,0,0,38,3,0
LTTE,2006,780,780,0,10000,1,0,0,0,38,3,0
LTTE,2007,780,780,0,7501,1,0,0,0,38,3,0
LTTE,2008,780,780,0,9500,1,0,0,0,38,3,0
LTTE,2009,780,780,0,9500,1,0,0,0,38,3,5
LURD,1999,450,450,0,3000,1,0,0,0,5,0,0
LURD,2000,450,450,0,3000,1,0,0,0,5,0,0
LURD,2001,450,450,0,3000,1,0,0,0,5,0,0
LURD,2002,450,450,0,8000,1,0,0,0,5,0,0
LURD,2003,450,450,0,15000,1,0,0,1,5,0,4
Latvia pro-dem movement,1989,367,367,1,2000000,0,0,0,0,3,3,0
Latvia pro-dem movement,1990,367,367,1,500000,0,0,1,0,3,3,0
Latvia pro-dem movement,1991,367,367,1,500000,0,0,1,1,3,3,4
Lebanon leftists,1975,660,660,0,-99,0,1,1,0,1,0,5
Liberals of 1949,1946,100,100,1,-99,1,1,0,0,8,0,0
Liberals of 1949,1947,100,100,1,-99,1,0,0,0,8,0,0
Liberals of 1949,1948,100,100,0,100000,1,1,0,0,8,0,0
Liberals of 1949,1949,100,100,0,-99,0,1,0,0,8,0,0
Liberals of 1949,1950,100,100,0,-99,0,1,0,0,8,0,0
Liberals of 1949,1951,100,100,0,-99,0,1,0,0,8,0,0
Liberals of 1949,1952,100,100,0,-99,0,0,0,0,8,0,0
Liberals of 1949,1953,100,100,0,6500,0,0,0,0,8,0,5
Madagasar pro-democracy movement,2002,580,580,1,1000000,1,1,1,1,1,0,4
Malayan Emergency,1948,820,200,0,5000,0,1,0,0,13,5,0
Malayan Emergency,1949,820,200,0,5000,0,0,0,0,13,5,0
Malayan Emergency,1950,820,200,0,4000,0,0,0,0,13,5,0
Malayan Emergency,1951,820,200,0,3500,0,1,0,0,13,5,0
Malayan Emergency,1952,820,200,0,8000,0,0,0,0,13,5,0
Malayan Emergency,1953,820,200,0,6000,0,0,0,0,13,5,0
Malayan Emergency,1954,820,200,0,5000,0,0,0,0,13,5,0
Malayan Emergency,1955,820,200,0,4000,0,1,0,0,13,5,3
Malayan Emergency,1956,820,200,0,2700,0,0,0,0,13,5,0
Malayan Emergency,1957,820,200,0,2100,0,0,0,0,13,5,3
